word,word_count,rank
charter,1985,1.0
students,1970,2.0
schools,1968,3.0
public,1529,4.0
garca,1510,5.0
california,1337,6.0
vladovic,1139,7.0
zimmer,1076,8.0
student,1063,9.0
case,1029,10.0
resolved,999,11.0
approved,971,12.0
action,925,13.0
resolution,907,14.0
high,907,14.0
items,883,16.0
regarding,871,17.0
martinez,871,17.0
lamotte,868,19.0
community,826,20.0
parent,799,21.0
executive,789,22.0
employees,785,23.0
order,776,24.0
galatzan,770,25.0
officer,763,26.0
south,738,27.0
state,702,28.0
crain,698,29.0
support,694,30.0
teachers,691,31.0
absent,666,32.0
local,654,33.0
services,643,34.0
section,642,35.0
learning,635,36.0
director,635,36.0
speakers,632,38.0
new,614,39.0
addressed,609,40.0
plan,596,41.0
association,596,41.0
year,593,43.0
employee,589,44.0
tuesday,578,45.0
agreement,570,46.0
personnel,566,47.0
contract,566,47.0
districts,563,49.0
facilities,558,50.0
elementary,556,51.0
program,550,52.0
v,546,53.0
available,542,54.0
court,539,55.0
academy,535,56.0
would,521,57.0
business,520,58.0
upon,519,59.0
staff,511,60.0
health,505,61.0
united,496,62.0
jefferson,485,63.0
funding,484,64.0
including,481,65.0
kayser,479,66.0
portion,477,67.0
mnica,468,68.0
construction,462,69.0
conditions,461,70.0
announced,459,71.0
responded,448,72.0
terms,446,73.0
budget,444,74.0
june,443,75.0
teacher,440,76.0
committee,439,77.0
employment,437,78.0
may,437,78.0
heard,436,80.0
superior,428,81.0
county,427,82.0
richard,423,83.0
flores,418,84.0
authorized,415,85.0
development,413,86.0
office,412,87.0
approval,411,88.0
middle,409,89.0
al,404,90.0
et,401,91.0
finalization,399,92.0
police,396,93.0
provide,396,93.0
actions,393,95.0
chief,390,96.0
programs,389,97.0
arts,384,98.0
mckenna,378,99.0
cs,374,100.0
children,374,100.0
called,371,102.0
administrative,365,103.0
speaker,358,104.0
adjourned,356,105.0
shall,355,106.0
process,355,106.0
deasy,354,108.0
parents,349,109.0
term,348,110.0
amendment,347,111.0
arrived,347,111.0
discussed,346,113.0
therefore,344,114.0
settlement,338,115.0
renewal,335,116.0
administrators,331,117.0
academic,330,118.0
schmerelson,325,119.0
work,324,120.0
policy,319,121.0
conference,319,121.0
service,317,123.0
met,315,124.0
cortines,313,125.0
melvoin,308,126.0
item,308,126.0
labor,308,126.0
also,307,129.0
gonez,307,129.0
division,307,129.0
early,305,132.0
bc,305,132.0
acting,304,134.0
call,295,135.0
negotiator,292,136.0
enrollment,292,136.0
ratliff,290,138.0
management,290,138.0
offices,289,140.0
counsel,288,141.0
remarks,288,141.0
one,282,143.0
amended,280,144.0
years,280,144.0
instruction,279,146.0
made,278,147.0
associated,275,148.0
garcia,273,149.0
hearing,271,150.0
roll,270,151.0
days,270,151.0
national,268,153.0
states,265,154.0
must,261,155.0
project,260,156.0
c,260,156.0
language,259,158.0
data,257,159.0
david,257,159.0
educational,254,161.0
petition,253,162.0
funds,253,162.0
building,251,164.0
form,251,164.0
time,250,166.0
day,250,166.0
litigation,249,168.0
center,249,168.0
families,247,170.0
ending,244,171.0
projects,242,172.0
stated,242,172.0
number,241,174.0
reports,241,174.0
information,241,174.0
existing,240,177.0
safety,239,178.0
council,238,179.0
indicated,237,180.0
english,234,181.0
month,233,182.0
within,233,182.0
organizations,233,182.0
use,232,185.0
wish,231,186.0
ensure,229,187.0
authority,228,188.0
every,227,189.0
access,226,190.0
college,226,190.0
finally,226,190.0
act,223,193.0
based,221,194.0
legal,219,195.0
statement,218,196.0
address,217,197.0
provided,216,198.0
april,215,199.0
attendance,214,200.0
october,213,201.0
union,210,202.0
evaluation,209,203.0
law,209,203.0
george,208,205.0
recessed,208,205.0
rodriguez,208,205.0
resolutions,207,208.0
th,207,208.0
adult,206,210.0
began,204,211.0
quality,202,212.0
purpose,201,213.0
million,200,214.0
recommended,198,215.0
numbers,197,216.0
annual,197,216.0
said,196,218.0
strategic,195,219.0
march,195,219.0
monica,195,219.0
implementation,193,222.0
petitions,191,223.0
instructional,190,224.0
directs,190,224.0
international,190,224.0
reconvened,190,224.0
achievement,189,228.0
september,189,228.0
need,188,230.0
current,187,231.0
system,187,231.0
tamar,186,233.0
november,186,233.0
needs,186,233.0
execution,185,236.0
marguerite,184,237.0
proposed,184,237.0
percent,182,239.0
dismissal,182,239.0
youth,180,241.0
scott,180,241.0
include,180,241.0
additional,180,241.0
first,180,241.0
two,180,241.0
steven,179,247.0
individuals,178,248.0
discipline,176,249.0
bond,175,250.0
ended,173,251.0
professional,173,251.0
deputy,173,251.0
curriculum,173,251.0
requested,173,251.0
region,172,256.0
safe,172,256.0
resources,172,256.0
p,171,259.0
financial,171,259.0
nury,171,259.0
utla,171,259.0
seiu,170,263.0
federal,170,263.0
reportable,169,265.0
b,169,265.0
develop,168,267.0
site,168,267.0
opportunities,167,269.0
american,167,269.0
family,166,271.0
february,164,272.0
trades,163,273.0
appointment,163,273.0
grade,162,275.0
noes,162,275.0
review,161,277.0
career,161,277.0
january,161,277.0
comment,160,280.0
meetings,159,281.0
week,156,282.0
communities,155,283.0
supports,155,283.0
standards,155,283.0
teamsters,154,286.0
cuts,153,287.0
principal,153,287.0
practices,152,289.0
k,152,289.0
initial,151,291.0
make,151,291.0
impact,151,291.0
increase,151,291.0
procurement,150,295.0
success,149,296.0
department,148,297.0
performance,148,297.0
many,147,299.0
update,147,299.0
choice,147,299.0
